ID,VO_STR,RXN
VO_0000097,RotaTeq,496892
VO_0003978,KINRIX vaccine 0.5 ML Prefilled Syringe,830557
VO_0004822,Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine,798294
VO_0003276,0.5 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injection,1292457
VO_0001549,Feline Leukemia Live Canarypox Vector Vaccine (USDA: 1555.R3),
VO_0005480,Plasmodium chabaudi vaccine,
VO_0002226,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 46J7.20),
VO_0002398,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Borrelia Burgdorferi Bacterin,
VO_0002347,Bovine Rhinotracheitis-Virus Diarrhea Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid,
VO_0011427,Classical swine fever virus vaccine VAC-E0,
VO_0003007,Plasmodium FabB/FabF mutant vaccine,
VO_0007544,MVA-PSA/PAP Prostate Cancer Vaccine,
VO_0007014,Recombinant dHER2 Vaccine,
VO_0007548,MAGE-A1/MAGE-A3/NY-ESO-1 Peptides Vaccine,
VO_0002261,"Encephalomyelitis-Rhinopneumonitis-Influenza Eastern & Western & Venezuelan, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4847.32)",
VO_0006027,Junin virus vaccine,
VO_0001814,West Nile Virus Live Canarypox Vector Vaccine (USDA: 1991.R0),
VO_0001652,"Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.01)",
VO_0003546,Flaviviridae vaccine,
VO_0003538,Papillomaviridae vaccine,
VO_0005191,MVA-SARS-2-S,
VO_0004585,Infectious Bursal Disease Virus DNA Vaccine expressing VP2,
VO_0003983,DAPTACEL vaccine 0.5 ML Injection,1300310
VO_0004699,PrV-PCV2-ORF2,
VO_0000760,Alzheimer vaccine,
VO_0007322,Autologous-Cell Melanoma Vaccine,
VO_0003617,Fluzone Quadrivalent 2015-2016 Injectable Product,1659728
VO_0011369,cancer DNA vaccine encoding TEM8,
VO_0011420,Herpes simplex virus type 2 vaccine using phage displaying GG protein,
VO_0003845,"Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine",1300806
VO_0003298,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901637
VO_0004659,VSV-DeltaG-H5 (H5N1),
VO_0003756,Afluria Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe,2050797
VO_0003359,meningococcal group B vaccine Prefilled Syringe [Bexsero],1601405
VO_0001961,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica Bacterin (USDA: 4477.20),
VO_0000723,Brucella abortus strain 45/20,
VO_0001944,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.24),
VO_0003572,ProQuad Injectable Product,1179526
VO_0000362,USA licensed human vaccine,
VO_0003980,KINRIX vaccine 0.5 ML Injection,830552
VO_0004823,Human-Bovine Reassortant Rotavirus Strain G2 Vaccine,798288
VO_0005162,ZyCoV-D,
VO_0001487,Feline herpesvirus 1 vaccine,
VO_0001142,Leishmania donovani vaccine,
VO_0002227,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 46J7.22),
VO_0002241,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Borrelia Burgdorferi Bacterin (USDA: 47C5.20),
VO_0001905,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 43S5.20),
VO_0003093,"P. falciparum RTS,S/AS01",
VO_0000484,recombinant vector vaccine,
VO_0007545,MVA-EBNA1/LMP2 Vaccine,
VO_0007019,Sialyl Tn-KLH Vaccine,
VO_0007550,HLA-A*2404-Restricted RNF43-TOMM34-VEGFR1-VEGFR2 Multipeptide Vaccine,
VO_0000667,human papillomavirus vaccine,
VO_0012161,bovine leukemia virus vaccine,
VO_0001815,West Nile Virus Live Flavivirus Chimera Vaccine (USDA: 1991.R1),
VO_0001653,"Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.40)",
VO_0005195,V590,
VO_0000123,Yellow fever virus vaccine,
VO_0004622,fp-IBD1,
VO_0004390,Marburg virus DNA vaccine DNA-GP encoding GP,
VO_0003809,"FluMist Quadrivalent, 2015-2016 Formula Nasal Spray",1664644
VO_0004754,BV-GD-ORF2,
VO_0001362,allergy vaccine,
VO_0007328,Bcl-Xs Adenovirus Vaccine,
VO_0003618,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2015-2016],1659726
VO_0011370,Cancer EPCAM protein vaccine,
VO_0000936,Suvaxyn Aujeszky,
VO_0003969,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML",801829
VO_0003289,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901621
VO_0004667,MVTT-HA-QH,
VO_0003788,FLUCELVAX QUADRIVALENT 2016-2017 0.5 ML Prefilled Syringe,1801611
VO_0003899,Flublok Quadrivalent 2017-2018 Injectable Product,1928350
VO_0001962,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4465.20),
VO_0000826,Brucella abortus S19 with P39 deletion,
VO_0001945,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.25),
VO_0003577,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 20000 UNT/ML [ProQuad]",1292441
VO_0000112,Tripedia,
VO_0004884,Menomune A/C/Y/W-135 Vaccine 0.5 ML Injection,1658228
VO_0004824,Human-Bovine Reassortant Rotavirus Strain G3 Vaccine,798290
VO_0004992,CoVLP,
VO_0001555,Feline Rhinotracheitis Modified Live Virus Vaccine (USDA: 16A1.22),
VO_0005133,MVvac2-MERS-S(H) vaccine,
VO_0004193,P. falciparum LSA-3 Protein Vaccine,
VO_0002228,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 46J8.20),
VO_0002242,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Borrelia Burgdorferi Bacterin (USDA: 47C5.29),
VO_0002348,Bovine Rhinotracheitis-Virus Diarrhea Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid,
VO_0011374,Phleum pratense Allergy Phl p 12 Subunit Vaccine,
VO_0003075,Gardasil 9,1597095
VO_0007020,STn-KLH plus Detox Vaccine,
VO_0007551,"HLA-A1, A2, B35-Restricted Survivin Peptides/Montanide ISA-51 Vaccine",
VO_0002262,"Encephalomyelitis-Rhinopneumonitis-Influenza-West Nile Virus Eastern & Western, Killed Virus, Killed Flavivirus Chimera Vaccine-Tetanus Toxoid (USDA: 4855.R2)",
VO_0003134,YF-17D vaccine,
VO_0001654,"Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.41)",
VO_0012170,Hendra virus vaccine,
VO_0005235,NDV-HXP-S,
VO_0004625,rFPV-IBDV-VP2,
VO_0004391,Marburg virus recombinant vector vaccine MBGV GP,
VO_0003683,influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Fluvirin 2016-2017],1801154
VO_0011481,PCV2 DNA Vaccine encoding ORF2 Protein,
VO_0002793,atherosclerosis vaccine,
VO_0007385,Fowlpox-NY-ESO-1 Vaccine,
VO_0003619,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2015-2016],1661112
VO_0011373,Cancer DNA Vaccine pLXSHDmB7-2 encoding Cd86,
VO_0002983,Pseudorabies virus glycoprotein E/G/UL23 mutant vaccine,
VO_0015017,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injectable Product",1160291
VO_0003286,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901622
VO_0004677,Schmidt-Ruppin Rous sarcoma virus-H7 (H7N7),
VO_0003796,Flucelvax Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928540
VO_0003900,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok Quadrivalent 2017-2018],1928361
VO_0001963,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4465.21),
VO_0002810,"B. abortus and B. melitensis mutants with unmarked deletion of asp24, virB2, or manBA",
VO_0001946,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.26),
VO_0003864,RabAvert Injectable Product,1177669
VO_0000124,Zostavax,
VO_0003841,PEDIARIX vaccine 0.5 ML Prefilled Syringe,829989
VO_0004825,Human-Bovine Reassortant Rotavirus Strain G1 Vaccine,798286
VO_0004991,COVAXIN,
VO_0005134,MVvac2-MERS-N vaccine,
VO_0004195,P. falciparum CS expressed in irradiated P. berghei as Vaccine,
VO_0002229,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 46J9.20),
VO_0001906,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid (USDA: 43T5.20),
VO_0002392,Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin,
VO_0000370,live virulent vaccine,
VO_0004275,human apo B-100 peptide-2 protein vaccine,
VO_0003081,Trumenba,1593136
VO_0007021,Synthetic Breast Cancer Peptides-Tetanus Toxoid-Montanide ISA-51 Vaccine,
VO_0007554,HLA-A0201-Restricted TRP2-gp100-EphA2-HER2 multipeptide Vaccine,
VO_0002263,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.00)",
VO_0001816,Bluetongue Modified Live Virus Vaccine (USDA: 1061.00),
VO_0001655,"Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.4A)",
VO_0005246,COVIVAC,
VO_0004652,BV-Dual-S1,
VO_0004566,Marburg virus recombinant vector vaccine MBGV GP/MBGV NP,
VO_0003628,Fluzone Quadrivalent 2016-2017 Injectable Product,1801074
VO_0004748,rPFV-CSFV-E0,
VO_0000402,AIDSVAX,
VO_0002811,diabetes vaccine,
VO_0007414,Monoclonal Antibody 3H1 Anti-Idiotype Vaccine,
VO_0002985,Psuedorabies virus glycoprotein M mutant vaccine,
VO_0011433,prostate cancer DNA vaccine encoding prostatic acid phosphatase (PAP),
VO_0004853,BEXSERO vaccine 0.5 ML Prefilled Syringe,1601407
VO_0004192,S. aureus DNA Vaccine encoding PBP2a Protein,
VO_0003297,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901623
VO_0004681,rNDV-H5,
VO_0003762,Flulaval Quadrivalent 2016-2017 vaccine 0.5 Prefilled Syringe,1799106
VO_0003904,Flublok Quadrivalent 2018-2019 Injectable Product,2050381
VO_0001964,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4465.22),
VO_0000602,Edwardsiella vaccine,
VO_0002812,Brucella abortus exsA mutant vaccine,
VO_0001947,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.28),
VO_0003865,rabies virus vaccine flury-lep strain 2.5 UNT/ML [RabAvert],830461
VO_0000152,Francisella tularensis vaccine,
VO_0003973,Pentacel vaccine 0.5 ML Injection,805378
VO_0004043,Rotavirus VP6 Protein Vaccine,
VO_0005084,KCONVAC,
VO_0005135,ChAdOx1-MERS-S vaccine,
VO_0003139,Stamaril,
VO_0004196,P. falciparum DNA Vaccine encoding EBA-175,
VO_0002388,Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract,
VO_0001907,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4335.20),
VO_0002487,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract,
VO_0004276,MDA-modified human apo B-100 peptide Vaccine,
VO_0004227,Cancer Vaccine using E7 protein of human papillomavirus 16 and Algammulin,
VO_0007022,Tn(c)-KLH Conjugate Vaccine,
VO_0007555,HLA-A*0201-Restricted URLC10-VEGFR1-VEGFR2 Multipeptide Vaccine,
VO_0002264,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.01)",
VO_0001656,"Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.00)",
VO_0000568,Campylobacter vaccine,
VO_0005259,COVID-19 rNDV vector vaccine by Laboratorio Avi-Mex,
VO_0004742,FP-IBDV-VP2,
VO_0004645,CAdVa-Filoviruses (EbMarburg viruses),
VO_0003629,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2016-2017],1801173
VO_0004096,Smallpox DNA Vaccine,
VO_0000786,DNA and adenoviral vector Ad5 expressing SIV gag protein,
VO_0002823,arthritis vaccine,
VO_0007415,Monoclonal Antibody A1G4 Anti-Idiotype Vaccine,
VO_0002986,Pseudorabies virus gp50/gp63 mutant vaccine,
VO_0004220,S. aureus IsdB subunit vaccine (V710),
VO_0003902,Flublok Quadrivalent 2017-2018 vaccine Prefilled Syringe,1928349
VO_0003296,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901625
VO_0004682,rNDV-H5 ( HPAI H5N1 challenge in mule ducks),
VO_0003772,Flulaval Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928336
VO_0003905,influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok Quadrivalent 2018-2019],2050379
VO_0001965,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4466.20),
VO_0001521,Edwardsiella ictaluri vaccine,
VO_0002818,Brucella abortus pgk mutant vaccine,
VO_0001948,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.30),
VO_0015025,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Tenivac]",1657592
VO_0000263,sodB(Ft),
VO_0003565,PNEUMOVAX 23 0.5 ML Injection,1658472
VO_0004160,Rotavirus VP2/VP 6 Protein Vaccine,
VO_0005093,QazVac,
VO_0005136,Ad41.MERS vaccine,
VO_0003541,Reoviridae vaccine,
VO_0012159,Leishmania infantum vaccine,
VO_0002230,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 46J9.21),
VO_0002243,Canine Coronavirus Killed Virus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 47E5.20),
VO_0001908,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4336.30),
VO_0004204,P. falciparum pfCelTos protein vaccine,
VO_0000534,subunit vaccine,
VO_0004403,Autoimmune diabetes DNA vaccine pND2-SGAD55,
VO_0004228,Cancer Vaccine using E7 protein of human papillomavirus 16 and Quil-A,
VO_0007024,NY-ESO-1 peptide vaccine,
VO_0007560,HLA-A*0201-Restricted VEGFR1 Peptide Vaccine,
VO_0002265,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.21)",
VO_0001819,Arthrobacter Live Culture Vaccine (USDA: 1K11.00),
VO_0001657,"Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.01)",
VO_0000437,Moraxella bovis vaccine,
VO_0005262,MVA-SARS-2-ST,
VO_0004749,rMDV-IBDV-VP2,
VO_0004646,cAdVaxM(fus),
VO_0003630,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2016-2017],1801072
VO_0000788,adenoviral vector Ad5 expressing SIV gag protein,
VO_0002837,autoimmune disease vaccine,
VO_0004389,Marburg virus DNA prime/boost vaccine DNA/rAd5-GP encoding GP from strain Angola,
VO_0007416,Monoclonal Antibody GD2 Anti-Idiotype Vaccine,
VO_0004097,MVA-BN,
VO_0002989,Pseudorabies virus UL50 mutant vaccine,
VO_0003906,Flublok Quadrivalent 2018-2019 vaccine Prefilled Syringe,2050380
VO_0003292,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901626
VO_0004683,rNDV-H6,
VO_0003778,Flulaval Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe,2048976
VO_0015034,"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.12 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 31 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 33 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 45 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 52 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 58 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.06 MG/ML Injection [Gardasil 9]",1597099
VO_0001966,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4466.21),
VO_0002819,Brucella abortus pgm mutant vaccine,
VO_0001968,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.20),
VO_0015024,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Prefilled Syringe [Tenivac]",1190918
VO_0003568,PNEUMOVAX 23 vaccine 0.5 ML Prefilled Syringe,
VO_0004161,Rotavirus VP4/VP7 Protein Vaccine,
VO_0005099,VLA2001,
VO_0005137,MVA-MERS vaccine,
VO_0003542,Sedoreovirinae vaccine,
VO_0004243,P. falciparum MSP4 with AFCo1 Adjuvant,
VO_0007205,Adenovirus Encoding Tyrosinase/MART-1/MAGEA6-transduced Autologous Dendritic Cell Vaccine,
VO_0001921,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Killed Virus Vaccine (USDA: 1175.20),
VO_0002387,Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-GrippotyphosaIcterohaemorrhagiae-Pomona Bacterial Extract,
VO_0004404,Autoimmune diabetes DNA vaccine pCMV-1/rGAD65 encoding GAD,
VO_0005202,COVID-19 subunit vaccine,
VO_0007026,NY-ESO-1/GLA-SE vaccine ID-G305AmN,
VO_0007565,"HLA-A2, A3-Restricted FGF-5 Peptides/Montanide ISA-51 Vaccine",
VO_0002266,"Encephalomyelitis Eastern & Western & Venezuelan, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.23)",
VO_0001658,"Bursal Disease Variant, Killed Virus Vaccine (USDA: 12A5.00)",
VO_0000469,autogenous bacterin vaccine,
VO_0005267,authorized COVID-19 recombinant vector vaccine,
VO_0004750,rFPV-IBDV-VP 2.4.3,
VO_0011394,Marburg Virus Nucleoprotein Vaccine,
VO_0003639,Fluzone Quadrivalent 2017-2018 Injectable Product,1928316
VO_0004098,LC16m0,
VO_0000789,DNA and Ad5/35 vector expressing HIV gp160 protein,
VO_0001397,vaccine containing DNA vaccine for priming and subunit vaccine for boosting,
VO_0001556,Edwardsiella ictaluri Avirulent Live Culture Vaccine (USDA: 1531.00),
VO_0007465,IL-2/Lptn Gene-Modified Allogeneic Neuroblastoma Tumor Cell Vaccine,
VO_0002990,Pseudorabies virus US3 mutant vaccine,
VO_0015036,"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.12 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 31 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 33 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 45 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 52 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 58 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.06 MG/ML Prefilled Syringe [Gardasil 9]",1597103
VO_0004542,"S. aureus DNA vaccine encoding Efb, FnbpA, ClfA, Cna",
VO_0003287,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901627
VO_0004691,RCN-HA (H5N1),
VO_0003621,Fluzone Quadrivalent 2015-2016 vaccine 0.5 ML Injection,1659748
VO_0015039,Gardasil 9 prefilled syringe,1597102
VO_0002366,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona-Mannheimia Haemolytica Bacterin,
VO_0002824,live attenuated B. abortus with deletion of znuA,
VO_0001969,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.21),
VO_0015026,Tenivac Injectable Product,1190914
VO_0000578,H1N1 Influenza vaccine,
VO_0003574,ProQuad vaccine 0.5 ML Injection,1292443
VO_0004224,Rotavirus Chimeric VP6 protein Vaccine,
VO_0005141,CoronaVac,
VO_0005140,MVvac2-MERS-solS vaccine,
VO_0000658,Rotavirus vaccine,
VO_0012158,Leishmania amazonensis vaccine,
VO_0002244,Canine Coronavirus Killed Virus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract (USDA: 47E5.21),
VO_0007211,AdRTVP-1-Transduced Prostate Cancer Cell-Based Vaccine,
VO_0001922,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4435.20),
VO_0004269,P. falciparum MSA-2 subunit vaccine,
VO_0000598,whole organism vaccine,
VO_0004405,Autoimmune diabetes DNA vaccine pND2-GAD65-BAX encoding GAD and BAX,
VO_0005278,(H115D)VHL35 Peptide Vaccine,
VO_0007027,NY-ESO-1b peptide vaccine,
VO_0007566,G250 Peptide Vaccine,
VO_0002267,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.26)",
VO_0001820,Bordetella Avium Avirulent Live Culture Vaccine (USDA: 1021.01),
VO_0001659,"Bursal Disease Variant, Live Virus Vaccine (USDA: 12L1.00)",
VO_0005319,AZD2816,
VO_0004642,CAdVax-RVFV glycoprotein,
VO_0003284,pneumococcal capsular polysaccharide vaccine,
VO_0003640,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2017-2018],1928314
VO_0006086,vaccinia (smallpox) vaccine diluted,
VO_0000817,DNA vaccine expressing multiple HIV epitopes,
VO_0001398,vaccine containing DNA vaccine for priming and Ad vector vaccine for boosting,
VO_0007466,Immunotherapeutic GSK1572932A,
VO_0004003,Pseudorabies recombinant vector vaccine encoding gp50 protein,
VO_0003293,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901629
VO_0004850,Trumenba vaccine 0.5 ML Prefilled Syringe,1593140
VO_0004695,PAV3-HA (H5N1),
VO_0003624,Fluzone Quadrivalent 2015-2016 vaccine 0.1 ML Prefilled Syringe,1661113
VO_0004849,Trumenba vaccine Prefilled Syringe,1593138
