,ID,VO_STR,RXN
687,VO_0002262,"Encephalomyelitis-Rhinopneumonitis-Influenza-West Nile Virus Eastern & Western, Killed Virus, Killed Flavivirus Chimera Vaccine-Tetanus Toxoid (USDA: 4855.R2)",
688,VO_0003134,YF-17D vaccine,
689,VO_0001654,"Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.41)",
690,VO_0012170,Hendra virus vaccine,
691,VO_0005235,NDV-HXP-S,
692,VO_0004625,rFPV-IBDV-VP2,
693,VO_0004391,Marburg virus recombinant vector vaccine MBGV GP,
694,VO_0003683,influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML [Fluvirin 2016-2017],1801154
695,VO_0011481,PCV2 DNA Vaccine encoding ORF2 Protein,
696,VO_0002793,atherosclerosis vaccine,
697,VO_0007385,Fowlpox-NY-ESO-1 Vaccine,
698,VO_0003619,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2015-2016],1661112
699,VO_0011373,Cancer DNA Vaccine pLXSHDmB7-2 encoding Cd86,
700,VO_0002983,Pseudorabies virus glycoprotein E/G/UL23 mutant vaccine,
701,VO_0015017,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injectable Product",1160291
702,VO_0003286,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901622
703,VO_0004677,Schmidt-Ruppin Rous sarcoma virus-H7 (H7N7),
704,VO_0003796,Flucelvax Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928540
705,VO_0003900,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok Quadrivalent 2017-2018],1928361
706,VO_0001963,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4465.21),
707,VO_0002810,"B. abortus and B. melitensis mutants with unmarked deletion of asp24, virB2, or manBA",
708,VO_0001946,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.26),
709,VO_0003864,RabAvert Injectable Product,1177669
710,VO_0000124,Zostavax,
711,VO_0003841,PEDIARIX vaccine 0.5 ML Prefilled Syringe,829989
712,VO_0004825,Human-Bovine Reassortant Rotavirus Strain G1 Vaccine,798286
713,VO_0004991,COVAXIN,
714,VO_0005134,MVvac2-MERS-N vaccine,
715,VO_0004195,P. falciparum CS expressed in irradiated P. berghei as Vaccine,
716,VO_0002229,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 46J9.20),
717,VO_0001906,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida-Salmonella Typhimurium Bacterin-Toxoid (USDA: 43T5.20),
718,VO_0002392,Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin,
719,VO_0000370,live virulent vaccine,
720,VO_0004275,human apo B-100 peptide-2 protein vaccine,
721,VO_0003081,Trumenba,1593136
722,VO_0007021,Synthetic Breast Cancer Peptides-Tetanus Toxoid-Montanide ISA-51 Vaccine,
723,VO_0007554,HLA-A0201-Restricted TRP2-gp100-EphA2-HER2 multipeptide Vaccine,
724,VO_0002263,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.00)",
725,VO_0001816,Bluetongue Modified Live Virus Vaccine (USDA: 1061.00),
726,VO_0001655,"Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.4A)",
727,VO_0005246,COVIVAC,
728,VO_0004652,BV-Dual-S1,
729,VO_0004566,Marburg virus recombinant vector vaccine MBGV GP/MBGV NP,
730,VO_0003628,Fluzone Quadrivalent 2016-2017 Injectable Product,1801074
731,VO_0004748,rPFV-CSFV-E0,
732,VO_0000402,AIDSVAX,
733,VO_0002811,diabetes vaccine,
734,VO_0007414,Monoclonal Antibody 3H1 Anti-Idiotype Vaccine,
735,VO_0002985,Psuedorabies virus glycoprotein M mutant vaccine,
736,VO_0011433,prostate cancer DNA vaccine encoding prostatic acid phosphatase (PAP),
737,VO_0004853,BEXSERO vaccine 0.5 ML Prefilled Syringe,1601407
738,VO_0004192,S. aureus DNA Vaccine encoding PBP2a Protein,
739,VO_0003297,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901623
740,VO_0004681,rNDV-H5,
741,VO_0003762,Flulaval Quadrivalent 2016-2017 vaccine 0.5 Prefilled Syringe,1799106
742,VO_0003904,Flublok Quadrivalent 2018-2019 Injectable Product,2050381
743,VO_0001964,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4465.22),
744,VO_0000602,Edwardsiella vaccine,
745,VO_0002812,Brucella abortus exsA mutant vaccine,
746,VO_0001947,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.28),
747,VO_0003865,rabies virus vaccine flury-lep strain 2.5 UNT/ML [RabAvert],830461
748,VO_0000152,Francisella tularensis vaccine,
749,VO_0003973,Pentacel vaccine 0.5 ML Injection,805378
750,VO_0004043,Rotavirus VP6 Protein Vaccine,
751,VO_0005084,KCONVAC,
752,VO_0005135,ChAdOx1-MERS-S vaccine,
753,VO_0003139,Stamaril,
754,VO_0004196,P. falciparum DNA Vaccine encoding EBA-175,
755,VO_0002388,Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract,
756,VO_0001907,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4335.20),
757,VO_0002487,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract,
758,VO_0004276,MDA-modified human apo B-100 peptide Vaccine,
759,VO_0004227,Cancer Vaccine using E7 protein of human papillomavirus 16 and Algammulin,
760,VO_0007022,Tn(c)-KLH Conjugate Vaccine,
761,VO_0007555,HLA-A*0201-Restricted URLC10-VEGFR1-VEGFR2 Multipeptide Vaccine,
762,VO_0002264,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.01)",
763,VO_0001656,"Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.00)",
764,VO_0000568,Campylobacter vaccine,
765,VO_0005259,COVID-19 rNDV vector vaccine by Laboratorio Avi-Mex,
766,VO_0004742,FP-IBDV-VP2,
767,VO_0004645,CAdVa-Filoviruses (EbMarburg viruses),
768,VO_0003629,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2016-2017],1801173
769,VO_0004096,Smallpox DNA Vaccine,
770,VO_0000786,DNA and adenoviral vector Ad5 expressing SIV gag protein,
771,VO_0002823,arthritis vaccine,
772,VO_0007415,Monoclonal Antibody A1G4 Anti-Idiotype Vaccine,
773,VO_0002986,Pseudorabies virus gp50/gp63 mutant vaccine,
774,VO_0004220,S. aureus IsdB subunit vaccine (V710),
775,VO_0003902,Flublok Quadrivalent 2017-2018 vaccine Prefilled Syringe,1928349
776,VO_0003296,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901625
777,VO_0004682,rNDV-H5 ( HPAI H5N1 challenge in mule ducks),
778,VO_0003772,Flulaval Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928336
779,VO_0003905,influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Flublok Quadrivalent 2018-2019],2050379
780,VO_0001965,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4466.20),
781,VO_0001521,Edwardsiella ictaluri vaccine,
782,VO_0002818,Brucella abortus pgk mutant vaccine,
783,VO_0001948,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1181.30),
784,VO_0015025,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Tenivac]",1657592
785,VO_0000263,sodB(Ft),
786,VO_0003565,PNEUMOVAX 23 0.5 ML Injection,1658472
787,VO_0004160,Rotavirus VP2/VP 6 Protein Vaccine,
788,VO_0005093,QazVac,
789,VO_0005136,Ad41.MERS vaccine,
790,VO_0003541,Reoviridae vaccine,
791,VO_0012159,Leishmania infantum vaccine,
792,VO_0002230,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 46J9.21),
793,VO_0002243,Canine Coronavirus Killed Virus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 47E5.20),
794,VO_0001908,Bovine Rhinotracheitis-Virus Diarrhea Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4336.30),
795,VO_0004204,P. falciparum pfCelTos protein vaccine,
796,VO_0000534,subunit vaccine,
797,VO_0004403,Autoimmune diabetes DNA vaccine pND2-SGAD55,
798,VO_0004228,Cancer Vaccine using E7 protein of human papillomavirus 16 and Quil-A,
799,VO_0007024,NY-ESO-1 peptide vaccine,
800,VO_0007560,HLA-A*0201-Restricted VEGFR1 Peptide Vaccine,
801,VO_0002265,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.21)",
802,VO_0001819,Arthrobacter Live Culture Vaccine (USDA: 1K11.00),
803,VO_0001657,"Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.01)",
804,VO_0000437,Moraxella bovis vaccine,
805,VO_0005262,MVA-SARS-2-ST,
806,VO_0004749,rMDV-IBDV-VP2,
807,VO_0004646,cAdVaxM(fus),
808,VO_0003630,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2016-2017],1801072
809,VO_0000788,adenoviral vector Ad5 expressing SIV gag protein,
810,VO_0002837,autoimmune disease vaccine,
811,VO_0004389,Marburg virus DNA prime/boost vaccine DNA/rAd5-GP encoding GP from strain Angola,
812,VO_0007416,Monoclonal Antibody GD2 Anti-Idiotype Vaccine,
813,VO_0004097,MVA-BN,
814,VO_0002989,Pseudorabies virus UL50 mutant vaccine,
815,VO_0003906,Flublok Quadrivalent 2018-2019 vaccine Prefilled Syringe,2050380
816,VO_0003292,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901626
817,VO_0004683,rNDV-H6,
818,VO_0003778,Flulaval Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe,2048976
819,VO_0015034,"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.12 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 31 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 33 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 45 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 52 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 58 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.06 MG/ML Injection [Gardasil 9]",1597099
820,VO_0001966,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4466.21),
821,VO_0002819,Brucella abortus pgm mutant vaccine,
822,VO_0001968,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.20),
823,VO_0015024,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Prefilled Syringe [Tenivac]",1190918
824,VO_0003568,PNEUMOVAX 23 vaccine 0.5 ML Prefilled Syringe,
825,VO_0004161,Rotavirus VP4/VP7 Protein Vaccine,
826,VO_0005099,VLA2001,
827,VO_0005137,MVA-MERS vaccine,
828,VO_0003542,Sedoreovirinae vaccine,
829,VO_0004243,P. falciparum MSP4 with AFCo1 Adjuvant,
830,VO_0007205,Adenovirus Encoding Tyrosinase/MART-1/MAGEA6-transduced Autologous Dendritic Cell Vaccine,
831,VO_0001921,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Killed Virus Vaccine (USDA: 1175.20),
832,VO_0002387,Canine Coronavirus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-GrippotyphosaIcterohaemorrhagiae-Pomona Bacterial Extract,
833,VO_0004404,Autoimmune diabetes DNA vaccine pCMV-1/rGAD65 encoding GAD,
834,VO_0005202,COVID-19 subunit vaccine,
835,VO_0007026,NY-ESO-1/GLA-SE vaccine ID-G305AmN,
836,VO_0007565,"HLA-A2, A3-Restricted FGF-5 Peptides/Montanide ISA-51 Vaccine",
837,VO_0002266,"Encephalomyelitis Eastern & Western & Venezuelan, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.23)",
838,VO_0001658,"Bursal Disease Variant, Killed Virus Vaccine (USDA: 12A5.00)",
839,VO_0000469,autogenous bacterin vaccine,
840,VO_0005267,authorized COVID-19 recombinant vector vaccine,
841,VO_0004750,rFPV-IBDV-VP 2.4.3,
842,VO_0011394,Marburg Virus Nucleoprotein Vaccine,
843,VO_0003639,Fluzone Quadrivalent 2017-2018 Injectable Product,1928316
844,VO_0004098,LC16m0,
845,VO_0000789,DNA and Ad5/35 vector expressing HIV gp160 protein,
846,VO_0001397,vaccine containing DNA vaccine for priming and subunit vaccine for boosting,
847,VO_0001556,Edwardsiella ictaluri Avirulent Live Culture Vaccine (USDA: 1531.00),
848,VO_0007465,IL-2/Lptn Gene-Modified Allogeneic Neuroblastoma Tumor Cell Vaccine,
849,VO_0002990,Pseudorabies virus US3 mutant vaccine,
850,VO_0015036,"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.12 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 31 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 33 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 45 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 52 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 58 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.06 MG/ML Prefilled Syringe [Gardasil 9]",1597103
851,VO_0004542,"S. aureus DNA vaccine encoding Efb, FnbpA, ClfA, Cna",
852,VO_0003287,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901627
853,VO_0004691,RCN-HA (H5N1),
854,VO_0003621,Fluzone Quadrivalent 2015-2016 vaccine 0.5 ML Injection,1659748
855,VO_0015039,Gardasil 9 prefilled syringe,1597102
856,VO_0002366,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona-Mannheimia Haemolytica Bacterin,
857,VO_0002824,live attenuated B. abortus with deletion of znuA,
858,VO_0001969,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.21),
859,VO_0015026,Tenivac Injectable Product,1190914
860,VO_0000578,H1N1 Influenza vaccine,
861,VO_0003574,ProQuad vaccine 0.5 ML Injection,1292443
862,VO_0004224,Rotavirus Chimeric VP6 protein Vaccine,
863,VO_0005141,CoronaVac,
864,VO_0005140,MVvac2-MERS-solS vaccine,
865,VO_0000658,Rotavirus vaccine,
866,VO_0012158,Leishmania amazonensis vaccine,
867,VO_0002244,Canine Coronavirus Killed Virus Vaccine-Borrelia Burgdorferi Bacterin-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract (USDA: 47E5.21),
868,VO_0007211,AdRTVP-1-Transduced Prostate Cancer Cell-Based Vaccine,
869,VO_0001922,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4435.20),
870,VO_0004269,P. falciparum MSA-2 subunit vaccine,
871,VO_0000598,whole organism vaccine,
872,VO_0004405,Autoimmune diabetes DNA vaccine pND2-GAD65-BAX encoding GAD and BAX,
873,VO_0005278,(H115D)VHL35 Peptide Vaccine,
874,VO_0007027,NY-ESO-1b peptide vaccine,
875,VO_0007566,G250 Peptide Vaccine,
876,VO_0002267,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.26)",
877,VO_0001820,Bordetella Avium Avirulent Live Culture Vaccine (USDA: 1021.01),
878,VO_0001659,"Bursal Disease Variant, Live Virus Vaccine (USDA: 12L1.00)",
879,VO_0005319,AZD2816,
880,VO_0004642,CAdVax-RVFV glycoprotein,
881,VO_0003284,pneumococcal capsular polysaccharide vaccine,
882,VO_0003640,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2017-2018],1928314
883,VO_0006086,vaccinia (smallpox) vaccine diluted,
884,VO_0000817,DNA vaccine expressing multiple HIV epitopes,
885,VO_0001398,vaccine containing DNA vaccine for priming and Ad vector vaccine for boosting,
886,VO_0007466,Immunotherapeutic GSK1572932A,
887,VO_0004003,Pseudorabies recombinant vector vaccine encoding gp50 protein,
888,VO_0003293,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901629
889,VO_0004850,Trumenba vaccine 0.5 ML Prefilled Syringe,1593140
890,VO_0004695,PAV3-HA (H5N1),
891,VO_0003624,Fluzone Quadrivalent 2015-2016 vaccine 0.1 ML Prefilled Syringe,1661113
892,VO_0004849,Trumenba vaccine Prefilled Syringe,1593138
893,VO_0001967,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona-Mannheimia Haemolytica Bacterin (USDA: 4475.20),
894,VO_0000300,B. melitensis strain VTRM1,
895,VO_0001970,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.22),
896,VO_0015027,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Tenivac]",1190912
897,VO_0003211,H1N1 Influenza Monovalent Vaccine,
898,VO_0015004,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 720 UNT/ML / Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Twinrix],803367
899,VO_0004687,HSVT[VP7/6/2],
900,VO_0005160,WIBP-CorV,
901,VO_0005145,MERS GLS-5300 vaccine,
902,VO_0010738,Rotarix,
903,VO_0004399,P. falciparum recombinant vector vaccine MVA.ME-TRAP,
904,VO_0002245,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin (USDA: 47K1.20),
905,VO_0007212,AE37 Peptide/GM-CSF Vaccine,
906,VO_0004834,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.04 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.04 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Quadracel]",1988804
907,VO_0004914,virus-like particle vaccine,
908,VO_0004406,Insulin-dependent diabetes mellitus DNA vaccine JwGAD65 + IL-4,
909,VO_0007003,PEP-CMV Vaccine,
910,VO_0007030,p53 Peptide Vaccine,
911,VO_0005449,Rho(D) Immune globulin - IM,
912,VO_0002268,"Encephalomyelitis Eastern & Western & Venezuelan, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4865.27)",
913,VO_0005336,AAV5-RBD-S,
914,VO_0004663,rMVA-GnGc (Rift Valley fever virus),
915,VO_0000619,E. coli live attenuated vaccine,
916,VO_0003536,Bacillus vaccine,
917,VO_0003641,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML [Fluzone Quadrivalent 2017-2018],1928469
918,VO_0006087,Vaccinia smallpox monkeypox vaccine live attenuated preservative free subcutaneous or intradermal injection,
919,VO_0000819,recombinant HIV gp120 with adjuvant NanoEmulsion,
920,VO_0004039,Psuedorabies DNA vaccine encoding IE180 protein,
921,VO_0007474,ESO-1 Reactive Autologous Peripheral Blood Lymphocyte vaccine,
922,VO_0003285,Streptococcus pneumoniae capsular antigen diphtheria CRM197 protein conjugate vaccine,
923,VO_0004908,COVID-19 vaccine,
924,VO_0003264,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],798428
925,VO_0003288,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901630
926,VO_0004696,PAV3-HA (A/Hanoi/30408/2005 H5N1),
927,VO_0003625,Fluzone Quadrivalent 2015-2016 vaccine 0.25 ML Prefilled Syringe,1659755
928,VO_0005081,Corbevax,
929,VO_0002009,Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 11A5.20),
930,VO_0000338,B. melitensis bp26 deletion vaccine,
931,VO_0002360,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
932,VO_0003850,Typhim VI Injectable Product,1187511
933,VO_0000349,Influenza A (H1N1) 2009 Monovalent Vaccine ( MedImmune LLC),
934,VO_0003356,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif],762602
935,VO_0012162,Marek's disease virus vaccine,
936,VO_0004815,"Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain",805573
937,VO_0005166,BBIBP-CorV,
938,VO_0005152,MVA-MERS-S vaccine,
939,VO_0005466,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)",
940,VO_0000835,Epm vaccine,
941,VO_0002246,Canine Distemper-Adenovirus Type 2-Coronavirus-Parainfluenza-Parvovirus Modified Live & Killed Virus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin (USDA: 47L9.20),
942,VO_0007217,Allogeneic AML Antigen-expressing Dendritic Cell Vaccine,
943,VO_0004817,"Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain 1000000 UNT/ML [Rotarix]",805577
944,VO_0004794,NYVAC-Pf7,
945,VO_0004407,Adjuvant arthritis DNA vaccine pCMV3.65 encoding HSP65,
946,VO_0007004,PF-04948568 Vaccine,
947,VO_0007031,PADRE-CMV Fusion Peptide Vaccine,
948,VO_0005450,Rho(D) Immune globulin- IV or IM passive vaccine,
949,VO_0002269,"Encephalomyelitis Eastern & Western & Venezuelan, Killed Virus Vaccine-Tetanus Toxoid (USDA: 4867.20)",
950,VO_0000865,Porphyromonas gulae vaccine,
951,VO_0006074,SARS-COV-2 COVID-19 Viral Vector Non-replicating Non-US Vaccine Product (CONVIDECIA) CanSino Biological Inc./Beijing Institute of Biotechnology,
952,VO_0001009,plant-based Newcastle disease virus vaccine,
953,VO_0011399,Rift Valley Fever Virus DNA Vaccine encoding N Protein,
954,VO_0000013,Bacillus anthracis vaccine,
955,VO_0003650,Fluzone Quadrivalent 2018-2019 Injectable Product,2050776
956,VO_0004209,Ovine Ecthyma live virus vaccine by Colorado Serum Company CZ Veterinaria,
957,VO_0000822,Gag-VRPs,
958,VO_0004040,Pseudorabies Subunit gI Protein Vaccine,
959,VO_0007475,Fowlpox Virus Vector Vaccine,
960,VO_0004005,S. pneumoniae CbpA Protein Vaccine,
961,VO_0005198,COVID-19 RNA vaccine,
962,VO_0003267,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],798430
963,VO_0003294,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901632
964,VO_0004698,PrV-HA (swine-origin H1N1),
965,VO_0003626,Fluzone Quadrivalent 2015-2016 vaccine 0.5 ML Prefilled Syringe,1659737
966,VO_0005082,Abdala,
